Trial_num,image_path,image_name,object_type
Trial # 215/300,Object2/butter/butter4.jpg,butter4,butter
Trial # 216/300,Object2/icecream/icecream5.jpg,icecream5,icecream
Trial # 217/300,Object2/dougao/dougao4.jpg,dougao4,dougao
Trial # 218/300,Object2/cheese/cheese14.jpg,cheese14,cheese
Trial # 219/300,Object2/brick/brick12.jpg,brick12,brick
Trial # 220/300,Object2/honeycandy/honey1.jpg,honey1,honeycandy
Trial # 221/300,Object2/quartz/quartz80.jpg,quartz80,quartz
Trial # 222/300,Object2/botryoidal/botryoidal1.jpg,botryoidal1,botryoidal
Trial # 223/300,Object2/rockcandy/rockcandy1.jpg,rockcandy1,rockcandy
Trial # 224/300,Object2/mochi/mochi1.jpg,mochi1,mochi
Trial # 225/300,Object2/wax/wax3.jpg,wax3,wax
Trial # 226/300,Object2/cantaloupe/cantaloupe3.jpg,cantaloupe3,cantaloupe
Trial # 227/300,Object2/spinach/spinach3.jpg,spinach3,spinach
Trial # 228/300,Object2/peeledlemon/peeledlemon2.jpg,peeledlemon2,peeledlemon
Trial # 229/300,Object2/plasticbowl/bowl6.jpg,bowl6,plasticbowl
Trial # 230/300,Object2/rope/strand1.jpg,strand1,rope
Trial # 231/300,Object2/metal/metal13.jpg,metal13,metal
Trial # 232/300,Object2/mangojelly/mangojelly1.jpg,mangojelly1,mangojelly
Trial # 233/300,Object2/peeledlemon/peeledlemon5.jpg,peeledlemon5,peeledlemon
Trial # 234/300,Object2/fluorite/fluorite7.jpg,fluorite7,fluorite
Trial # 235/300,Object2/stone/greenston2.jpg,greenston2,stone
Trial # 236/300,Object2/cucumberslice/cucumberslice2.jpg,cucumberslice2,cucumberslice
Trial # 237/300,Object2/PearlOnion/PearlOnion3.jpg,PearlOnion3,PearlOnion
Trial # 238/300,Object2/onion/onion4.jpg,onion4,onion
Trial # 239/300,Object2/pomegranate/pomegranate1.jpg,pomegranate1,pomegranate
Trial # 240/300,Object2/toy/stickytoy1.jpg,stickytoy1,toy
Trial # 241/300,Object2/fluorite/fluorite6.jpg,fluorite6,fluorite
Trial # 242/300,Object2/cheese/cheese3.jpg,cheese3,cheese
Trial # 243/300,Object2/tofu/tofu5.jpg,tofu5,tofu
Trial # 244/300,Object2/cookie/cookie3.jpg,cookie3,cookie
Trial # 245/300,Object2/pineapple/pineapple2.jpg,pineapple2,pineapple
Trial # 246/300,Object2/strawberry/strawberry2.jpg,strawberry2,strawberry
Trial # 247/300,Object2/cookie/cookie2.jpg,cookie2,cookie
Trial # 248/300,Object2/grapefruit/grapefruit4.jpg,grapefruit4,grapefruit
Trial # 249/300,Object2/plasticfruit/plastic1BB.jpg,plastic1BB,plasticfruit
Trial # 250/300,Object2/fudge/fudge2.jpg,fudge2,fudge
Trial # 251/300,Object2/DriedCantaloupe/DriedCantaloupe3.jpg,DriedCantaloupe3,DriedCantaloupe
Trial # 252/300,Object2/soywax/soywax4.jpg,soywax4,soywax
Trial # 253/300,Object2/chocolate/chocolate13.jpg,chocolate13,chocolate
Trial # 254/300,Object2/meat/meat4BB.jpg,meat4BB,meat
Trial # 255/300,Object2/granite/granite2.jpg,granite2,granite
Trial # 256/300,Object2/rockcandy/rockcandy2.jpg,rockcandy2,rockcandy
Trial # 257/300,Object2/cup/cup14BB.jpg,cup14BB,cup
Trial # 258/300,Object2/jello/jello5.jpg,jello5,jello
Trial # 259/300,Object2/stone/greenstone1.jpg,greenstone1,stone
Trial # 260/300,Object2/soaps/soap8.jpg,soap8,soaps
Trial # 261/300,Object2/fudge/fudge5.jpg,fudge5,fudge
Trial # 262/300,Object2/DragonfruitJelly/DragonfruitJelly1.jpg,DragonfruitJelly1,DragonfruitJelly
Trial # 263/300,Object2/choppedpotato/choppedpotato2.jpg,choppedpotato2,choppedpotato
Trial # 264/300,Object2/pickle/pickleslice1.jpg,pickleslice1,pickle
Trial # 265/300,Object2/Angel/Angel3.jpg,Angel3,Angel
Trial # 266/300,Object2/palmivory/palmivory1.jpg,palmivory1,palmivory
Trial # 267/300,Object2/ruber/rubber7.jpg,rubber7,ruber
Trial # 268/300,Object2/fluorite/bluefluorite1.jpg,bluefluorite1,fluorite
Trial # 269/300,Object2/OrangeSlice/orange7.jpg,orange7,OrangeSlice
Trial # 270/300,Object2/quartz/quartz54.jpg,quartz54,quartz
Trial # 271/300,Object2/pearl/pearl1.jpg,pearl1,pearl
Trial # 272/300,Object2/LemonSlice/limeslice1.jpg,limeslice1,LemonSlice
Trial # 273/300,Object2/peeledorange/peeledorange1.jpg,peeledorange1,peeledorange
Trial # 274/300,Object2/cup/cup4BB.jpg,cup4BB,cup
Trial # 275/300,Object2/GlycerinSoap/glycerin5.jpg,glycerin5,GlycerinSoap
Trial # 276/300,Object2/FrostedGlass/frostedglass1.jpg,frostedglass1,FrostedGlass
Trial # 277/300,Object2/raspberry/raspberry2.jpg,raspberry2,raspberry
Trial # 278/300,Object2/sponge/sponge2.jpg,sponge2,sponge
Trial # 279/300,Object2/caramelcandy/caramelcandy3.jpg,caramelcandy3,caramelcandy
Trial # 280/300,Object2/strawberry/strawberry1.jpg,strawberry1,strawberry
Trial # 281/300,Object2/chickennugget/chickennugget3.jpg,chickennugget3,chickennugget
Trial # 282/300,Object2/tofu/tofu11.jpg,tofu11,tofu
Trial # 283/300,Object2/scallops/Scallops2.jpg,Scallops2,scallops
Trial # 284/300,Object2/plasticfruit/plastic6BB.jpg,plastic6BB,plasticfruit
Trial # 285/300,Object2/tooth/tooth3.jpg,tooth3,tooth
Trial # 286/300,Object2/butter/butter2.jpg,butter2,butter
Trial # 287/300,Object2/waffle/waffle3.jpg,waffle3,waffle
Trial # 288/300,Object2/jello/jello1.jpg,jello1,jello
Trial # 289/300,Object2/LemonSlice/limeslice6.jpg,limeslice6,LemonSlice
Trial # 290/300,Object2/stone/stone1.jpg,stone1,stone
Trial # 291/300,Object2/plasticfruit/plastic7BB.jpg,plastic7BB,plasticfruit
Trial # 292/300,Object2/chalk/chalk1.jpg,chalk1,chalk
Trial # 293/300,Object2/cheese/cheese11.jpg,cheese11,cheese
Trial # 294/300,Object2/steel/steel3.jpg,steel3,steel
Trial # 295/300,Object2/scallops/Scallops4.jpg,Scallops4,scallops
Trial # 296/300,Object2/parsimmon/persimmon2.jpg,persimmon2,parsimmon
Trial # 297/300,Object2/chalk/chalk3.jpg,chalk3,chalk
Trial # 298/300,Object2/botryoidal/botryoidal2.jpg,botryoidal2,botryoidal
Trial # 299/300,Object2/soaps/colorsoap1.jpg,colorsoap1,soaps
Trial # 300/300,Object2/gummi/gummi29.jpg,gummi29,gummi
